FID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
2567253	239.157	22.4006	18.0343	-54.2603	5.94178	-0.671408	50.2599	12.6085	6.23016	-50.4322
3152920	-12.0372	3.56324	0.313266	-2.15633	-0.0147261	0.651824	2.23577	0.127016	-1.73918	1.37508
3968563	-14.2902	2.67964	-4.01703	1.33804	-6.19002	-2.73778	1.67321	-4.42419	5.04765	0.306128
1468230	-9.41476	2.58178	-2.53912	-0.904892	-11.0141	-1.46476	1.22689	-1.24667	3.42998	-0.707062
1473798	-14.0042	5.32575	0.120066	4.37199	7.13779	0.438888	3.56715	-2.08408	-2.28742	-2.04302
5561274	-13.6094	2.71634	-0.753322	0.00956022	-3.70187	-3.11693	-0.975411	0.276808	-0.0326264	0.120085
4627954	-10.7667	2.78596	1.34869	2.03817	-8.32826	1.90503	-1.3663	0.97681	-0.457164	-0.107497
4139312	-11.0618	4.40768	-1.90106	-2.40895	-5.33923	-1.13461	1.33691	-2.8426	-3.70812	0.924479
5350920	-10.4894	2.55831	-0.897085	-0.651662	-6.6939	0.266919	0.797224	2.90195	0.0916885	0.515622
2491295	-13.6426	1.89437	-0.687324	4.70008	15.5163	-0.237231	2.00803	0.230781	0.704336	-3.31005
2819346	-14.3738	5.701	-1.96902	-0.654959	-4.6083	-0.105517	0.199724	0.559502	1.99354	1.9564
1320256	-12.7823	5.52421	-2.1763	2.06479	-7.45893	-3.99419	2.46504	-1.73188	0.743172	0.838422
5912860	-14.4932	4.7442	-2.55471	-2.76947	-8.15137	2.31415	0.0430049	0.0607371	1.81924	-3.62077
4356883	-13.6337	2.79964	-1.87169	1.88925	0.449238	0.967251	1.53699	-1.52107	-3.87171	-0.25954
3071785	-12.779	5.71817	-0.381136	-1.18432	0.705724	-2.41434	2.43946	0.910327	-11.2965	0.810888
3305112	-12.4647	3.36296	-3.92938	1.62228	-0.918622	-1.33795	0.277475	-2.89753	-1.54944	1.55408
3324020	-10.5578	4.42819	-1.84461	0.950308	-1.96562	-0.874762	-1.64598	0.328637	3.31466	0.334309
1684858	-12.7537	4.7606	-3.19612	7.19227	11.8901	-0.197284	-0.229792	0.0779544	4.50927	1.72394
5468675	61.9734	-92.7711	72.6148	6.06735	1.86475	8.24798	4.91465	9.4361	4.33145	26.5456
5953387	-14.8256	3.91757	-5.36454	-0.248806	-8.88903	-0.238144	0.645105	-0.416148	2.55866	-0.589533
4664768	-14.6519	4.46651	-1.83477	2.79103	-0.821229	-0.280273	0.211932	-2.28883	0.287089	-2.13158
4207808	-11.9619	5.37337	-0.851115	1.99328	-3.97736	-2.00363	-1.94176	0.307502	2.95077	-2.07539
2509802	100.031	12.0647	21.4478	-69.6201	4.53181	0.705422	39.8421	6.20145	-0.822607	-32.1294
3405313	-12.0692	3.65105	-3.51968	0.220583	-7.84314	-2.66632	-1.01512	-3.632	0.924009	5.91626
5788376	-13.2735	3.77947	-2.35835	4.76902	19.6597	0.582685	-1.8404	-0.00838505	3.63901	-2.01227
2166982	-13.1392	3.46234	-0.303964	-2.13809	-6.11974	0.389836	-0.854666	-0.695509	-0.791836	-1.34372
